division,date,unemployment,impact
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2006,4.6,-1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2007,4.2,-1.4
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2008,4.6,-1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2009,7,1.4
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2010,9,3.4
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2011,8.6,3
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2012,8.4,2.8
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",2013,8.8,3.2
"San Francisco-Oakland-Fremont, CA MSA",2000,3.4,-2.2
"San Francisco-Oakland-Fremont, CA MSA",2001,3.3,-2.3
"San Francisco-Oakland-Fremont, CA MSA",2002,6,0.4
"San Francisco-Oakland-Fremont, CA MSA",2003,6.5,0.9
"San Francisco-Oakland-Fremont, CA MSA",2004,6,0.4
"San Francisco-Oakland-Fremont, CA MSA",2005,5.1,-0.5
"San Francisco-Oakland-Fremont, CA MSA",2006,4.4,-1.2
"San Francisco-Oakland-Fremont, CA MSA",2007,4.2,-1.4
"San Francisco-Oakland-Fremont, CA MSA",2008,4.7,-0.9
"San Francisco-Oakland-Fremont, CA MSA",2009,7.9,2.3
"San Francisco-Oakland-Fremont, CA MSA",2010,10.4,4.8
"San Francisco-Oakland-Fremont, CA MSA",2011,9.9,4.3
"San Francisco-Oakland-Fremont, CA MSA",2012,8.6,3
"San Francisco-Oakland-Fremont, CA MSA",2013,7.5,1.9
"San Francisco-San Mateo-Redwood City, CA Met Div",2000,3.1,-2.5
"San Francisco-San Mateo-Redwood City, CA Met Div",2001,3.2,-2.4
"San Francisco-San Mateo-Redwood City, CA Met Div",2002,5.9,0.3
"San Francisco-San Mateo-Redwood City, CA Met Div",2003,6.3,0.7
"San Francisco-San Mateo-Redwood City, CA Met Div",2004,5.6,0
"San Francisco-San Mateo-Redwood City, CA Met Div",2005,4.9,-0.7
"San Francisco-San Mateo-Redwood City, CA Met Div",2006,4.2,-1.4
"San Francisco-San Mateo-Redwood City, CA Met Div",2007,3.8,-1.8
"San Francisco-San Mateo-Redwood City, CA Met Div",2008,4.2,-1.4
"San Francisco-San Mateo-Redwood City, CA Met Div",2009,7,1.4
"San Francisco-San Mateo-Redwood City, CA Met Div",2010,9.3,3.7
"San Francisco-San Mateo-Redwood City, CA Met Div",2011,8.6,3
"San Francisco-San Mateo-Redwood City, CA Met Div",2012,7.5,1.9
"San Francisco-San Mateo-Redwood City, CA Met Div",2013,6.4,0.8
"Santa Ana-Anaheim-Irvine, CA Met Div",2000,3.5,-2.1
"Santa Ana-Anaheim-Irvine, CA Met Div",2001,3.4,-2.2
"Santa Ana-Anaheim-Irvine, CA Met Div",2002,4.8,-0.8
"Santa Ana-Anaheim-Irvine, CA Met Div",2003,5,-0.6
"Santa Ana-Anaheim-Irvine, CA Met Div",2004,4.6,-1
"Santa Ana-Anaheim-Irvine, CA Met Div",2005,4,-1.6
"Santa Ana-Anaheim-Irvine, CA Met Div",2006,3.5,-2.1
"Santa Ana-Anaheim-Irvine, CA Met Div",2007,3.5,-2.1
"Santa Ana-Anaheim-Irvine, CA Met Div",2008,4.3,-1.3
"Santa Ana-Anaheim-Irvine, CA Met Div",2009,7.3,1.7
"Santa Ana-Anaheim-Irvine, CA Met Div",2010,9.7,4.1
"Santa Ana-Anaheim-Irvine, CA Met Div",2011,9.1,3.5
"Santa Ana-Anaheim-Irvine, CA Met Div",2012,8.1,2.5
"Santa Ana-Anaheim-Irvine, CA Met Div",2013,7,1.4
"Seattle-Bellevue-Everett, WA Met Div",2000,4.1,-1.5
"Seattle-Bellevue-Everett, WA Met Div",2001,4.5,-1.1
"Seattle-Bellevue-Everett, WA Met Div",2002,6.1,0.5
"Seattle-Bellevue-Everett, WA Met Div",2003,6.6,1
"Seattle-Bellevue-Everett, WA Met Div",2004,5.8,0.2
"Seattle-Bellevue-Everett, WA Met Div",2005,5,-0.6
"Seattle-Bellevue-Everett, WA Met Div",2006,4.5,-1.1
"Seattle-Bellevue-Everett, WA Met Div",2007,4.1,-1.5
"Seattle-Bellevue-Everett, WA Met Div",2008,3.7,-1.9
"Seattle-Bellevue-Everett, WA Met Div",2009,7.2,1.6
"Seattle-Bellevue-Everett, WA Met Div",2010,9.7,4.1
"Seattle-Bellevue-Everett, WA Met Div",2011,9.1,3.5
"Seattle-Bellevue-Everett, WA Met Div",2012,7.6,2
"Seattle-Bellevue-Everett, WA Met Div",2013,6.3,0.7
"Seattle-Tacoma-Bellevue, WA MSA",2000,4.3,-1.3
"Seattle-Tacoma-Bellevue, WA MSA",2001,4.7,-0.9
"Seattle-Tacoma-Bellevue, WA MSA",2002,6.5,0.9
"Seattle-Tacoma-Bellevue, WA MSA",2003,6.8,1.2
"Seattle-Tacoma-Bellevue, WA MSA",2004,6.2,0.6
"Seattle-Tacoma-Bellevue, WA MSA",2005,5.3,-0.3
"Seattle-Tacoma-Bellevue, WA MSA",2006,4.6,-1
"Seattle-Tacoma-Bellevue, WA MSA",2007,4.2,-1.4
"Seattle-Tacoma-Bellevue, WA MSA",2008,4,-1.6
"Seattle-Tacoma-Bellevue, WA MSA",2009,7.3,1.7
"Seattle-Tacoma-Bellevue, WA MSA",2010,9.9,4.3
"Seattle-Tacoma-Bellevue, WA MSA",2011,9.3,3.7
"Seattle-Tacoma-Bellevue, WA MSA",2012,7.9,2.3
"Seattle-Tacoma-Bellevue, WA MSA",2013,6.7,1.1
"Tacoma, WA Met Div",2000,4.8,-0.8
"Tacoma, WA Met Div",2001,5.5,-0.1
"Tacoma, WA Met Div",2002,8.1,2.5
"Tacoma, WA Met Div",2003,7.9,2.3
"Tacoma, WA Met Div",2004,7.7,2.1
"Tacoma, WA Met Div",2005,6.3,0.7
"Tacoma, WA Met Div",2006,5.2,-0.4
"Tacoma, WA Met Div",2007,4.8,-0.8
"Tacoma, WA Met Div",2008,4.9,-0.7
"Tacoma, WA Met Div",2009,7.9,2.3
"Tacoma, WA Met Div",2010,10.7,5.1
"Tacoma, WA Met Div",2011,10,4.4
"Tacoma, WA Met Div",2012,9.3,3.7
"Tacoma, WA Met Div",2013,8.6,3
"Taunton-Norton-Raynham, MA NECTA Div",2000,2.8,-2.8
"Taunton-Norton-Raynham, MA NECTA Div",2001,2.9,-2.7
"Taunton-Norton-Raynham, MA NECTA Div",2002,4.4,-1.2
"Taunton-Norton-Raynham, MA NECTA Div",2003,5.3,-0.3
"Taunton-Norton-Raynham, MA NECTA Div",2004,5.5,-0.1
"Taunton-Norton-Raynham, MA NECTA Div",2005,5,-0.6
"Taunton-Norton-Raynham, MA NECTA Div",2006,5,-0.6
"Taunton-Norton-Raynham, MA NECTA Div",2007,4.8,-0.8
"Taunton-Norton-Raynham, MA NECTA Div",2008,4.9,-0.7
"Taunton-Norton-Raynham, MA NECTA Div",2009,7.8,2.2
"Taunton-Norton-Raynham, MA NECTA Div",2010,9.4,3.8
"Taunton-Norton-Raynham, MA NECTA Div",2011,8.3,2.7
"Taunton-Norton-Raynham, MA NECTA Div",2012,7.3,1.7
"Taunton-Norton-Raynham, MA NECTA Div",2013,6.9,1.3
"Warren-Troy-Farmington Hills, MI Met Div",2000,2.8,-2.8
"Warren-Troy-Farmington Hills, MI Met Div",2001,3.9,-1.7
"Warren-Troy-Farmington Hills, MI Met Div",2002,5.8,0.2
"Warren-Troy-Farmington Hills, MI Met Div",2003,5.9,0.3
"Warren-Troy-Farmington Hills, MI Met Div",2004,5.7,0.1
"Warren-Troy-Farmington Hills, MI Met Div",2005,6.6,1
"Warren-Troy-Farmington Hills, MI Met Div",2006,6.3,0.7
"Warren-Troy-Farmington Hills, MI Met Div",2007,6.6,1
"Warren-Troy-Farmington Hills, MI Met Div",2008,6.8,1.2
"Warren-Troy-Farmington Hills, MI Met Div",2009,11.7,6.1
"Warren-Troy-Farmington Hills, MI Met Div",2010,14.6,9
"Warren-Troy-Farmington Hills, MI Met Div",2011,11.6,6
"Warren-Troy-Farmington Hills, MI Met Div",2012,9.8,4.2
"Warren-Troy-Farmington Hills, MI Met Div",2013,10,4.4
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2000,2.8,-2.8
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2001,2.7,-2.9
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2002,4.1,-1.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2003,4,-1.6
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2004,3.7,-1.9
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2005,3.7,-1.9
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2006,3.1,-2.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2007,3,-2.6
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2008,3,-2.6
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2009,5.3,-0.3
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2010,6.7,1.1
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2011,6.1,0.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2012,5.7,0.1
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2013,5.5,-0.1
"Washington-Arlington-Alexandria, DC-VA-MD-WV Met Div",2000,2.9,-2.7
"Washington-Arlington-Alexandria, DC-VA-MD-WV Met Div",2001,2.7,-2.9
"Washington-Arlington-Alexandria, DC-VA-MD-WV Met Div",2002,4.2,-1.4
"Washington-Arlington-Alexandria, DC-VA-MD-WV Met Div",2003,4.1,-1.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV Met Div",2004,3.8,-1.8
"Washington-Arlington-Alexandria, DC-VA-MD-WV Met Div",2005,3.7,-1.9
"Washington-Arlington-Alexandria, DC-VA-MD-WV Met Div",2006,3.2,-2.4
"Washington-Arlington-Alexandria, DC-VA-MD-WV Met Div",2007,3.1,-2.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV Met Div",2008,3.1,-2.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV Met Div",2009,5.4,-0.2
"Washington-Arlington-Alexandria, DC-VA-MD-WV Met Div",2010,6.9,1.3
"Washington-Arlington-Alexandria, DC-VA-MD-WV Met Div",2011,6.2,0.6
"Washington-Arlington-Alexandria, DC-VA-MD-WV Met Div",2012,5.8,0.2
"Washington-Arlington-Alexandria, DC-VA-MD-WV Met Div",2013,5.5,-0.1
"West Palm Beach-Boca Raton-Boynton Beach, FL Met Div",2000,4.2,-1.4
"West Palm Beach-Boca Raton-Boynton Beach, FL Met Div",2001,4.2,-1.4
"West Palm Beach-Boca Raton-Boynton Beach, FL Met Div",2002,6.4,0.8
"West Palm Beach-Boca Raton-Boynton Beach, FL Met Div",2003,5.9,0.3
"West Palm Beach-Boca Raton-Boynton Beach, FL Met Div",2004,5.3,-0.3
"West Palm Beach-Boca Raton-Boynton Beach, FL Met Div",2005,4.9,-0.7
"West Palm Beach-Boca Raton-Boynton Beach, FL Met Div",2006,3.7,-1.9
"West Palm Beach-Boca Raton-Boynton Beach, FL Met Div",2007,3.7,-1.9
"West Palm Beach-Boca Raton-Boynton Beach, FL Met Div",2008,5.1,-0.5
"West Palm Beach-Boca Raton-Boynton Beach, FL Met Div",2009,8.9,3.3
"West Palm Beach-Boca Raton-Boynton Beach, FL Met Div",2010,11.6,6
"West Palm Beach-Boca Raton-Boynton Beach, FL Met Div",2011,11.2,5.6
"West Palm Beach-Boca Raton-Boynton Beach, FL Met Div",2012,9.4,3.8
"West Palm Beach-Boca Raton-Boynton Beach, FL Met Div",2013,8.1,2.5
"Wilmington, DE-MD-NJ Met Div",2000,2.9,-2.7
"Wilmington, DE-MD-NJ Met Div",2001,3.6,-2
"Wilmington, DE-MD-NJ Met Div",2002,4,-1.6
"Wilmington, DE-MD-NJ Met Div",2003,4.6,-1
"Wilmington, DE-MD-NJ Met Div",2004,4.2,-1.4
"Wilmington, DE-MD-NJ Met Div",2005,4.4,-1.2
"Wilmington, DE-MD-NJ Met Div",2006,4.1,-1.5
"Wilmington, DE-MD-NJ Met Div",2007,3.7,-1.9
"Wilmington, DE-MD-NJ Met Div",2008,3.9,-1.7
"Wilmington, DE-MD-NJ Met Div",2009,7.2,1.6
"Wilmington, DE-MD-NJ Met Div",2010,8.9,3.3
"Wilmington, DE-MD-NJ Met Div",2011,8.1,2.5
"Wilmington, DE-MD-NJ Met Div",2012,7.6,2
"Wilmington, DE-MD-NJ Met Div",2013,7.6,2
